# agcnum radeg    decdeg distMpc Vcmb   logL_V logMH gas2L_V AbsMag_i logL_i  gas2L_i sepmin
  230403 203.06   10.408 108.3   7578.0 10.04  9.93  -0.1063 -20.36   9.9771  -0.0471 92.0  
  8519   203.1163 7.317  100.0   6997.0 11.09  9.36  -1.727  -23.31   11.1572 -1.7972 271.83
  735361 203.1129 10.097 105.3   7368.0 9.04   9.45  0.4069  -17.78   8.9448  0.5052  110.27
  230407 203.1237 12.818 111.5   7802.0 10.09  9.69  -0.3998 -20.76   10.1346 -0.4446 75.58 
  230408 203.1346 13.933 102.3   7159.0 10.09  9.47  -0.6189 -20.73   10.1245 -0.6545 136.03
  233804 203.2046 10.131 107.3   7513.0 9.91   9.66  -0.2513 -19.76   9.7346  -0.0746 110.69
  8523   203.205  7.17   102.3   7158.0 10.82  9.65  -1.1739 -22.84   10.9664 -1.3164 281.38
  233806 203.2167 9.989  106.1   7424.0 9.62   9.44  -0.1763 -19.43   9.6052  -0.1652 118.67
  8527   203.2258 9.52   103.8   7264.0 10.58  10.18 -0.3961 -21.89   10.5891 -0.4091 144.96
  231389 203.2333 7.288  112.1   7850.0 9.97   9.46  -0.51   -20.34   9.9691  -0.5091 274.73
  233807 203.3108 10.284 106.6   7465.0 9.29   9.37  0.0828  -18.55   9.25    0.12    105.61
  238678 203.3038 8.057  104.0   7279.0 9.35   9.18  -0.1719 -18.75   9.333   -0.153  230.47
  230417 203.3283 11.117 112.8   7896.0 9.95   9.75  -0.2006 -20.44   10.0063 -0.2563 68.8  
  230418 203.3421 9.527  105.9   7416.0 10.12  9.83  -0.2874 -20.56   10.0552 -0.2252 147.06
  238757 203.3575 6.354  91.6    6412.0 9.2    9.29  0.0943  -18.16   9.0962  0.1938  331.17
  233825 203.3875 10.156 106.5   7453.0 9.12   9.13  0.0052  -18.17   9.1014  0.0286  114.52
  238789 203.4092 8.023  109.6   7669.0 9.37   9.17  -0.2046 -18.69   9.3089  -0.1389 233.98
  233824 203.4971 8.286  111.0   7767.0 9.08   9.25  0.1695  -17.91   8.9961  0.2539  220.25
  238612 203.6071 8.854  105.2   7365.0 8.88   9.2   0.3234  -17.61   8.8751  0.3249  190.37
  238698 203.6367 5.946  107.3   7508.0 9.14   9.31  0.1713  -17.98   9.023   0.287   358.39
  238758 203.6825 6.271  100.8   7053.0 9.64   9.45  -0.192  -19.6    9.6714  -0.2214 339.95
  8555   203.6796 9.337  105.1   7355.0 10.79  10.26 -0.5331 -22.48   10.826  -0.566  165.89
  8559   203.7329 13.832 104.3   7302.0 10.85  10.1  -0.7505 -22.74   10.9281 -0.8281 145.94
  233643 203.7312 15.828 97.4    6821.0 9.42   9.46  0.0402  -18.89   9.3866  0.0734  254.8 
  231050 203.74   13.744 101.2   7083.0 9.97   9.96  -0.0098 -20.22   9.9207  0.0393  141.77
  233811 203.7504 8.045  105.1   7356.0 9.18   9.48  0.2952  -18.21   9.1161  0.3639  238.75
  233812 203.7696 9.561  106.7   7472.0 9.33   9.53  0.1979  -18.61   9.2759  0.2541  156.78
  231408 203.7867 6.481  101.7   7119.0 10.44  8.92  -1.5177 -21.93   10.6036 -1.6836 329.18
  238759 203.7971 7.488  103.0   7213.0 8.32   9.31  0.9873  -15.56   8.0546  1.2554  271.33
  713535 203.8721 8.073  105.7   7397.0 9.82   9.13  -0.6874 -20.33   9.9631  -0.8331 239.72
  8573   203.8829 13.676 101.9   7134.0 10.0   10.53 0.5285  -20.77   10.1403 0.3897  143.38
  8572   203.9075 7.545  101.3   7092.0 10.55  9.91  -0.6409 -22.07   10.66   -0.75   270.15
  8569   203.9083 6.193  102.9   7201.0 10.24  9.66  -0.5804 -21.16   10.2946 -0.6346 347.73
  8582   204.0058 6.585  98.7    6906.0 10.59  9.49  -1.1025 -22.06   10.6544 -1.1644 326.7 
  713548 204.0458 9.478  99.6    6969.0 9.87   8.95  -0.9235 -20.38   9.9854  -1.0354 169.9 
  233596 204.1017 7.8    103.5   7246.0 9.71   9.9   0.1909  -19.46   9.6142  0.2858  260.06
  8589   204.1092 7.369  104.7   7332.0 10.72  10.31 -0.4142 -22.4    10.7929 -0.4829 284.19
  231092 204.1487 8.193  103.6   7253.0 10.2   9.67  -0.5336 -20.91   10.1953 -0.5253 239.69
  735413 204.1692 8.243  107.9   7551.0 8.99   9.08  0.0861  -17.73   8.9248  0.1552  237.54
