# agcnum   radeg      decdeg    vhel    sepmin    
  713326   200.2329   8.7969    13227   219.7326  
  230262   200.2358   14.1556   7111    189.4282  
  8389     200.2392   8.9853    9588    210.3591  
  230261   200.2475   8.9778    9565    210.4253  
  713327   200.2638   8.9347    9449    211.9397  
  713328   200.2696   9.3981    12134   189.9017  
  238750   200.2729   8.1694    12190   250.3034  
  735318   200.2813   15.7786   17696   268.816   
  230264   200.2813   9.9731    6611    164.7939  
  713329   200.3121   8.5058    12645   231.7502  
  232358   200.315    12.0444   15765   122.1975  
  713330   200.3217   14.9683   8675    225.4541  
  713331   200.33     9.7       5867    174.0855  
  713332   200.3562   9.0753    14170   201.8951  
  230268   200.3571   14.7286   7258    212.2976  
  715817   200.3583   7.2717    15294   296.2302  
  230269   200.3688   12.3378   11415   122.5235  
  232359   200.3771   11.4131   6864    119.8568  
  232360   200.3771   11.1039   6864    124.7432  
  238751   200.3788   6.6014    6463    333.0252  
  232489   200.3796   12.5228   11147   125.3289  
  8395     200.3838   12.1875   11461   119.5818  
  742924   200.3858   17.1078   10992   339.5145  
  713333   200.3892   8.3511    13901   237.4167  
  232490   200.3942   12.2983   11374   120.4735  
  231350   200.3996   15.3217   6623    241.4034  
  713334   200.4004   10.0939   12084   154.718   
  713335   200.4121   10.1647   14449   151.4219  
  713336   200.4121   8.3653    14021   236.0079  
  713337   200.4142   9.6056    14777   174.8935  
  713338   200.425    10.6261   12517   134.5516  
  232361   200.4371   12.0      11518   114.7749  
  232491   200.4379   12.175    11454   116.32    
  232492   200.4433   12.7942   7644    128.57    
