agcnum      ra     dec    
321471  334.1279  29.06722
322673  334.2046  35.61305
321472A 334.6887  28.96667
321207  334.7146  27.62639
321473  334.8692  28.79611
322674  334.8975  36.07306
321322  334.9467  25.69222
321502  334.9521  29.52306
321324  335.0858  24.38833
321326  335.2250  24.76389
322675  335.3096  35.51528
321474  335.3383  28.23111
321475  335.3563  28.51611
322676  335.4921  34.18333
322677  335.5333  35.71333
322678  335.6117  35.61194
321477  335.6567  28.80111
321478  335.7783  29.71917
322756  335.8962  34.14722
322679  335.9133  34.62666
321447  335.9204  30.74861
321456  335.9783  30.94139
321327  336.1050  24.24083
321418  336.1958  31.85278
322680  336.3537  35.89944
322681  336.4237  36.03361
322682  336.5154  34.35833
322683  336.5338  35.61722
321329  336.6042  25.37417
322684A 336.6246  35.52750
322687  336.6791  34.97306
321330  336.7096  25.01583
321419  336.8579  30.12028
321331  336.8813  25.62778
322689  336.9254  35.40722
322690  336.9938  34.06445
321421  336.9984  30.64389
320901  337.0279  23.37722
321212  337.0313  26.21861
321332  337.0550  25.78639
321479  337.1371  28.93361
322691A 337.2025  34.04639
321422  337.2484  32.08194
321214  337.3154  27.80472
321334  337.5504  24.85083
321216  337.5854  28.10695
322695  337.6183  34.21584
321423  337.6946  31.00861
322519  337.7108  35.21111
322523  338.0771  35.52306
321516  338.0866  23.44750
321335  338.1646  25.57639
321424  338.5292  31.28000
321526  338.7071  24.13194
321425  338.7796  30.63639
321480  338.8813  29.03333
322751  339.0383  35.59055
321481  339.0671  29.52944
321283  339.1083  26.74917
321379  339.1158  23.71611
321533  339.1300  24.13722
320272  339.1700  33.94833
321426  339.2438  31.64583
321482  339.4629  28.60639
321483  339.5467  28.21139
321380  339.6237  23.85861
321484  339.7371  28.90111
321427  339.8417  31.49750
321345  339.9275  24.34444
321485  339.9929  28.62667
321486  340.0167  29.35667
320702  340.0242  24.69889
321428  340.0471  32.17806
321346A 340.2892  24.57445
321429  340.3612  31.53000
321285  340.5079  28.00194
321487  340.6279  29.54111
322640  340.6446  35.64389
321430  340.6621  31.77667
320326  340.7329  36.10944
321431  340.7400  31.58472
320606  340.7713  30.64694
322734  340.8163  36.04805
322735  340.8546  35.55111
322736A 340.8579  35.68250
321347  340.8617  24.56389
321432  340.9454  31.74195
322738  341.0092  35.47445
321338  341.2121  25.43333
322740  341.2516  35.91528
322741  341.2875  36.14250
322752  341.3125  35.45945
322742  341.3875  34.79944
322743  341.3954  34.54028
321449A 341.3992  30.60695
321339  341.4063  25.12472
322753  341.5150  33.96445
321433  341.5187  30.32111
321435  341.9321  32.18834
321434  341.9333  30.75333
321348  341.9337  23.99972
321451  342.0133  29.83000
321436  342.0250  31.88028
320787  342.4667  34.91445
321438  342.5709  30.25222
321439  342.5796  31.10695
321440  342.6254  31.85306
320725  342.9992  20.26556
322744  343.0596  36.05722
321341  343.0654  24.10250
322745  343.1392  34.46528
321442  343.4109  31.99611
321342  343.4763  23.96889
321343  343.5850  25.52361
321984  343.7621  22.83500
321443  343.8167  31.20278
320804  343.9054  31.59333
321226  343.9341  26.30333
320926  343.9937  26.16861
322755  344.1329  36.06750
321444  344.2329  30.69639
321194  344.2667  25.72500
321445  344.3012  30.51306
321453  344.3367  31.88778
321227  344.3833  26.33611
321228  344.5967  26.02833
320484  344.7383  20.39139
321454  344.7400  31.61000
321229  344.7475  27.36472
321385  344.8129  24.70945
320603  344.8329  24.88445
322747  344.8363  34.94806
322748  344.8459  35.73000
320489  344.8667  25.12583
321404  344.9850  30.05055
333259  345.0225  24.48445
333349  345.0796  31.80805
333350  345.1179  30.50333
333351  345.1354  30.70583
333260  345.1500  24.77944
333352  345.1563  30.96111
333501  345.2746  28.82056
333502A 345.4121  28.50694
333503A 345.5496  29.57972
332263  345.5571  24.75444
335477  345.6412  35.05167
333355  345.7217  30.06833
335478  345.8112  35.92334
333357  345.9771  30.51694
334616  346.0258  22.08167
332905  346.0475  27.12083
333358  346.1392  30.13556
333504  346.1913  28.36028
330037  346.2358  36.02000
333505  346.2517  28.76111
332906  346.2884  25.87444
335480  346.3000  36.08416
335481  346.4129  35.95333
330046  346.4425  28.69583
334526  346.4930  23.16972
333359  346.5171  31.70750
333506  346.5438  28.98028
330051  346.5829  27.89056
333360  346.5858  29.89222
333361  346.6858  31.43250
335482  346.7375  36.00555
334287  346.7979  22.52833
333507  346.8208  29.38833
333362  346.8479  31.90278
333508  346.8529  29.54222
333363  346.9229  30.12111
335574  346.9333  35.69056
332939  347.0696  31.90167
333509  347.2200  29.66694
333583  347.2254  28.96028
333510  347.3975  29.26194
333364  347.4225  30.07417
333203  347.5550  27.79444
333584  347.6050  29.80833
333511  347.6367  29.55528
333318  347.6621  24.14444
335483  347.8375  35.43389
333365  347.9637  30.19111
332912  348.0042  27.29472
333266  348.0638  24.15639
333450  348.1021  30.06667
333366  348.1284  29.87778
333267  348.2108  24.35500
333512  348.2321  28.27194
332913  348.2375  27.34778
333513  348.4396  29.18111
330124  348.4558  25.46889
333367  348.4879  31.53833
333514  348.4996  28.59861
333268  348.5175  24.61361
333368  348.5562  31.45000
333516  348.5616  28.34861
333515  348.5658  28.50639
333369  348.5742  30.90583
333370  348.5917  31.25139
333518  348.6050  28.16417
333517  348.6162  29.53500
335484  348.7417  35.86305
333269  348.7883  25.76333
333320  348.8367  26.08556
333371  348.9059  29.88194
333520  348.9438  29.20139
333519  348.9471  29.03250
333372  348.9763  31.75750
334304  349.1625  23.50111
333373  349.1787  30.31583
333634A 349.1804  24.69250
333453  349.1917  30.77500
333521  349.2217  29.19833
332332  349.3238  27.97833
333374  349.3454  30.84250
333375  349.4354  30.61250
333633  349.4387  27.87222
333272  349.4483  24.57944
335489  349.6000  35.73528
330212  349.6058  20.16361
333522  349.6358  29.28333
330230  349.8329  24.93389
333377  349.8337  29.97306
331856  349.8383  20.63750
333523  349.8600  29.34583
332915  349.8658  26.10833
333585  349.8708  28.36306
333524  349.8904  29.62778
333378  349.9517  30.41167
330247  350.0413  26.02306
334315  350.0492  22.40194
333525  350.0742  29.14944
333274  350.1550  24.10833
333275  350.2250  24.19611
333276  350.2858  23.94972
333277  350.3346  25.17167
333526  350.3533  29.66389
332236  350.4046  26.10611
333380  350.4258  30.83639
333527  350.4338  29.00917
333278  350.4458  24.29528
