# AGC ra dec z zerr petroR90_r petroR50_r expAB_r petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z lnLExp_r lnLDeV_r isoA_r isoPhi_r sigma sigmaErr ew ewErr chisq nu zWarning objID sepagc
# sepagc is separation between AGC position and DR7 position in arcsec
249090 210.23623657  9.86445236 0.021023 0.9844E-04   7.05   3.71 0.855 17.881952 16.917042 16.564993 16.382133 16.204643 -.218367E+03 -.188610E+04    23.26   15.72     1.590479     0.034180    12.75038815    0.27177101   17.85909462     6     0 588017992302854319    0.06
248868 210.24592590 12.11042690 0.023169 0.1131E-03   5.93   2.67 0.728 18.571545 17.673029 17.315449 17.148563 17.108110 -.333642E+02 -.383070E+03    20.50  156.54     1.705115     0.034180    17.70972443    0.38281599    7.63615990     7     0 588017704554004702    0.63
242168 210.27490234  9.10717583 0.018248 0.9872E-04  15.67   7.03 0.431 19.043936 17.792130 17.687263 17.838427 20.123743 -.750743E+02 -.134065E+03    30.13  153.30     1.637399     0.024414    70.78249359    1.13116300   45.96492004     7     0 587736542552981569    6.39
231601 210.28718567  8.58368874 0.016100 0.1829E-03   9.04   2.80 0.371 16.738689 14.987141 14.151973 13.727233 13.422192 -.156053E+05 -.206540E+04    65.41   46.15     5.174404     1.667532    -0.71543401    0.26778701   17.11205673    20     0 588017990692306978    1.32
  8928 210.28945923  7.70227575 0.023066 0.8856E-04  20.64  10.40 0.925 15.791041 14.486676 14.140459 13.951108 14.006186 -.399737E+04 -.142989E+05    73.97  141.47     1.627232     0.014648    19.98420525    0.23263600  107.31382751     7     0 588017726558961797    1.27
  8927 210.29371643  7.48213005 0.000000 0.0000E+00  23.76  10.71 0.361 17.952320 15.379131 14.812549 14.522886 14.712573 -.247517E+04 -.675431E+04   102.86  170.70     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 587736525908082793    0.00
230939 210.32540894 10.11881638 0.022822 0.9516E-04  16.00   7.15 0.750 16.598034 15.250498 14.696407 14.425982 14.297164 -.436334E+04 -.105040E+05    63.35   15.97     1.883312     0.014648    24.03623199    0.25224799   17.45799255     6     0 588017992839790659    0.26
  8934 210.34086609 10.48093319 0.034245 0.1702E-03  18.93   9.13 0.505 16.828468 15.369168 14.842225 14.610663 14.573472 -.952015E+03 -.614754E+04    64.90   66.37     1.706060     0.087891     3.62782311    0.17168200   10.32677841     6     0 588017702406652124    1.36
230946 210.37184143  9.15371513 0.016500 0.1025E-03   7.35   3.22 0.450 17.460373 16.337183 15.828859 15.582169 15.427041 -.285596E+03 -.536774E+04    32.79   70.48     1.552673     0.014648    16.98001671    0.21149200   72.94087219     7     0 587736542553047150    2.15
249092 210.41783142  7.99799824 0.018095 0.1271E-03  11.75   4.68 0.415 19.136768 17.741774 17.243872 16.980810 16.997318 -.205930E+02 -.278445E+03    40.25   30.85     1.559360     0.073242     7.70369911    0.31591299  107.58313751    16     0 588017990155501793    1.81
