# agcnum   radeg      decdeg    vhel    sepmin    
  233676   205.6671   12.9453   12365   204.7625  
  233677   205.6729   15.6083   7765    298.9229  
  238767   205.6746   7.5161    6978    321.982   
  233835   205.8525   7.9131    6956    310.1492  
  232546   205.8537   12.5183   7742    208.4012  
  238768   205.86     7.9756    6959    307.6321  
  233678   205.875    15.0508   7101    282.6709  
  233679   205.9187   13.3847   6479    228.2717  
  230610   205.9604   13.2497   6562    227.2948  
  713608   205.9867   9.4522    11590   254.7191  
  231462   205.9946   8.0239    13345   310.8816  
  230614   206.0288   12.1278   14777   215.1367  
  230617   206.0737   14.4842   13116   269.6798  
  230619   206.0896   14.3278   12295   264.9739  
  230620   206.1025   13.1753   12303   233.3956  
  233816   206.13     8.2708    6832    305.9759  
  232547   206.1683   12.1936   14862   223.6614  
  231009   206.1863   15.5239   6710    315.3642  
  232548   206.2154   12.2372   16884   226.6866  
  230627   206.2813   8.4739    11085   304.3574  
  232550   206.2858   12.4267   12115   232.3094  
  238804   206.2983   7.9103    3030    328.3     
  232296   206.3267   10.5178   11645   244.5129  
  231476   206.4375   7.515     6959    351.1714  
  232427   206.5283   12.0383   6833    243.9964  
  230636   206.5413   9.2919    10808   287.5415  
  735525   206.5725   9.2169    10651   291.4974  
  232428   206.6179   11.2419   14354   251.3025  
  238879   206.6958   10.7417   11661   261.6079  
  230642   206.7088   11.6211   10712   254.5196  
  231485   206.7125   14.415    6522    298.1934  
  233680   206.7192   15.9692   6558    356.0391  
  233836   206.7983   8.0022    6993    346.1022  
  233681   206.8167   13.1772   1093    272.9246  
  233683   206.8183   13.2981   6511    275.2582  
  232553   206.8283   12.4028   14837   263.5591  
  713641   206.8454   8.0711    11249   345.5035  
  233818   206.8508   9.8469    10573   288.0746  
  233684   206.8854   14.2661   6454    302.3983  
  713646   206.8871   9.4089    11396   301.7123  
  238608   206.9075   15.7397   11072   354.6579  
  230663   206.9488   11.2742   11861   270.356   
  230666   207.0254   12.0717   7025    273.2293  
