# agcnum   radeg      decdeg   distMpc   Vcmb      logL_V   logMH   gas2L_V   AbsMag_i   logL_i    gas2L_i   sepmin  
  233627   199.9708   13.806   16.8      1227.0    7.0      7.98    0.9848    -12.52     6.8383    1.1417    185.81  
  8375     199.9846   15.85    104.2     7293.0    10.76    9.83    -0.9282   -22.57     10.8591   -1.0291   280.82  
  238749   200.0108   7.222    102.6     7185.0    8.55     9.37    0.8241    -16.85     8.5718    0.7982    307.74  
  232268   200.0421   15.405   98.2      6872.0    9.09     8.87    -0.224    -18.1      9.0704    -0.2004   256.26  
  8379     200.0846   6.336    175.3     12270.0   11.14    10.37   -0.7652   -23.15     11.0903   -0.7203   354.27  
  8383     200.1158   14.534   126.2     8834.0    10.59    9.89    -0.7006   -22.04     10.6498   -0.7598   211.25  
  232486   200.1375   12.823   110.8     7756.0    10.02    9.59    -0.4322   -20.29     9.9493    -0.3593   145.37  
  232269   200.1583   14.592   131.8     9223.0    10.1     9.44    -0.6576   -20.7      10.1126   -0.6726   212.47  
  8385     200.1588   9.787    16.2      1430.0    8.85     8.99    0.1447    -17.36     8.777     0.213     177.65  
  233628   200.1996   13.636   101.1     7074.0    8.94     9.64    0.6952    -17.73     8.9234    0.7166    169.03  
  713325   200.2296   10.263   178.5     12494.0   9.87     9.95    0.0775    -20.06     9.8547    0.0953    156.26  
  230262   200.2358   14.156   105.9     7412.0    10.14    9.97    -0.1714   -20.86     10.1756   -0.2056   189.43  
  238750   200.2729   8.169    178.5     12494.0   10.12    9.96    -0.157    -20.43     10.0038   -0.0438   250.3   
  230269   200.3687   12.338   166.9     11681.0   10.61    10.07   -0.5428   -21.99     10.6296   -0.5596   122.52  
  713332   200.3562   9.075    206.2     14435.0   10.03    10.05   0.0167    -20.53     10.0449   0.0051    201.9   
  230268   200.3571   14.729   107.7     7542.0    9.97     9.46    -0.5078   -20.48     10.0248   -0.5648   212.3   
  238751   200.3788   6.601    96.6      6761.0    8.91     9.27    0.3592    -17.5      8.8332    0.4368    333.02  
  8395     200.3842   12.188   167.9     11754.0   10.61    10.3    -0.3063   -22.1      10.6703   -0.3703   119.56  
  231350   200.3992   15.321   98.7      6906.0    10.11    9.75    -0.3562   -20.82     10.1606   -0.4106   241.39  
  232361   200.4371   12.0     168.7     11807.0   10.3     9.69    -0.6112   -21.28     10.3444   -0.6544   114.77  
  232492   200.4433   12.794   113.0     7907.0    9.76     9.3     -0.4597   -19.99     9.8274    -0.5274   128.57  
  233796   200.485    8.814    142.6     9979.0    9.97     9.84    -0.1325   -20.25     9.9314    -0.0914   210.62  
  230275   200.4804   14.333   104.3     7301.0    10.21    9.55    -0.6605   -20.94     10.208    -0.658    188.75  
  232094   200.4983   8.1      220.9     15460.0   10.68    10.35   -0.3257   -22.06     10.6542   -0.3042   247.66  
  713341   200.5137   8.867    143.0     10008.0   9.42     9.66    0.2409    -18.89     9.3893    0.2707    207.02  
  715818   200.5388   6.755    181.8     12723.0   9.64     9.97    0.3347    -19.48     9.6233    0.3467    321.1   
  231927   200.5746   13.967   108.5     7595.0    9.31     9.37    0.0649    -18.47     9.2191    0.1509    168.01  
  713345   200.6292   9.709    213.8     14969.0   10.15    10.26   0.1082    -20.99     10.2299   0.0301    161.9   
  233629   200.6858   14.08    96.7      6772.0    8.46     9.25    0.7879    -16.48     8.4239    0.8261    169.46  
  715819   200.6821   7.809    219.2     15346.0   9.75     9.99    0.2412    -19.84     9.7687    0.2213    259.0   
  232271   200.7433   14.844   98.8      6916.0    9.24     9.28    0.0386    -18.42     9.201     0.079     206.72  
  8408     200.7513   13.951   108.4     7590.0    10.51    10.26   -0.248    -21.68     10.5057   -0.2457   160.94  
  232592   200.8313   13.19    218.1     15266.0   10.25    10.24   -0.0109   -20.96     10.2172   0.0228    123.68  
  233797   200.8471   11.56    100.7     7051.0    8.65     9.25    0.5996    -16.62     8.4818    0.7682    91.11   
  8413     200.8642   6.392    103.5     7248.0    10.57    10.03   -0.5403   -21.93     10.6035   -0.5735   335.98  
  230295   200.8779   13.773   107.4     7516.0    10.16    9.33    -0.8253   -21.05     10.2501   -0.9201   147.98  
  230297   200.9037   13.973   96.5      6756.0    9.97     9.93    -0.0415   -20.39     9.9887    -0.0587   156.96  
  233630   200.9113   12.01    170.3     11922.0   9.07     9.63    0.5589    -17.72     8.9188    0.7112    87.25   
  231356   200.9033   6.407    173.3     12128.0   10.25    9.84    -0.4056   -21.17     10.3013   -0.4613   334.55  
  233631   200.9367   14.693   97.3      6811.0    9.14     9.42    0.2761    -18.34     9.1673    0.2527    193.57  
  715822   200.9417   7.53     181.2     12686.0   10.22    9.79    -0.4304   -20.79     10.147    -0.357    269.3   
  735323   200.9621   8.612    196.1     13725.0   9.52     9.77    0.2459    -19.32     9.5589    0.2111    208.16  
  8417     200.9679   13.734   96.0      6717.0    10.48    9.89    -0.5874   -21.66     10.496    -0.606    143.03  
  238752   200.9917   7.183    181.6     12710.0   9.39     9.93    0.5435    -18.61     9.2754    0.6546    288.3   
  8421     201.0029   9.71     104.0     7280.0    10.91    10.31   -0.5981   -22.87     10.9793   -0.6693   148.8   
  713360   201.04     10.565   196.4     13746.0   9.73     10.18   0.4538    -19.53     9.6445    0.5355    107.75  
  230302   201.0412   9.662    107.3     7515.0    10.14    9.7     -0.4406   -20.67     10.0998   -0.3998   150.05  
  713361   201.0437   8.602    196.8     13773.0   10.04    9.82    -0.2186   -20.52     10.0404   -0.2204   206.85  
  8425     201.0529   15.594   125.1     8755.0    10.53    9.94    -0.5914   -21.91     10.5967   -0.6567   241.08  
  231933   201.0625   13.779   102.3     7164.0    9.59     9.63    0.0437    -19.41     9.5957    0.0343    142.12  
  231415   201.0646   7.255    180.5     12638.0   10.23    10.16   -0.0671   -20.86     10.1758   -0.0158   282.94  
  232368   201.0775   11.98    172.1     12049.0   9.61     9.79    0.1795    -19.31     9.5561    0.2339    77.33   
  233632   201.0717   14.648   194.8     13637.0   10.05    9.98    -0.07     -20.44     10.0071   -0.0271   187.83  
  715826   201.0804   6.774    102.6     7184.0    9.26     9.28    0.0176    -18.42     9.2016    0.0784    310.55  
  233799   201.1025   9.74     103.4     7239.0    9.87     9.65    -0.2199   -19.99     9.8261    -0.1761   144.15  
  231935   201.1033   13.813   95.6      6689.0    9.2      9.37    0.1652    -18.44     9.2062    0.1638    142.57  
  230305   201.1004   13.938   101.0     7068.0    10.36    9.4     -0.9595   -21.48     10.4259   -1.0259   149.08  
  232369   201.1321   11.77    102.9     7206.0    9.42     9.41    -0.0114   -19.02     9.4411    -0.0311   73.31   
  8427     201.1463   6.529    103.4     7240.0    10.91    10.21   -0.7014   -22.79     10.9492   -0.7392   323.91  
  238753   201.1542   6.809    177.4     12418.0   9.78     9.82    0.0365    -19.71     9.7141    0.1059    307.47  
  233800   201.1496   8.777    194.7     13628.0   10.18    10.26   0.0756    -20.57     10.0607   0.1993    194.75  
  715830   201.2021   6.709    176.1     12330.0   9.95     10.07   0.1229    -20.12     9.8804    0.1896    312.67  
  230310   201.205    16.145   105.6     7395.0    9.95     10.07   0.1238    -20.26     9.9344    0.1356    270.18  
  230312   201.215    13.581   100.7     7046.0    10.0     9.77    -0.2289   -20.55     10.0506   -0.2806   127.33  
  232496   201.2225   12.19    203.2     14225.0   10.02    10.08   0.056     -20.47     10.021    0.059     72.08   
  715833   201.2429   6.326    105.3     7374.0    9.75     9.56    -0.1887   -19.74     9.7278    -0.1678   334.58  
  232497   201.25     12.414   203.1     14214.0   9.8      9.85    0.0537    -19.84     9.7696    0.0804    76.16   
  233585   201.28     15.84    125.3     8771.0    10.26    10.17   -0.0857   -21.16     10.296    -0.126    251.4   
  231943   201.3142   13.276   96.6      6765.0    9.59     9.22    -0.3747   -19.49     9.6275    -0.4075   108.9   
